constraint_id,severity,constraint,violations,total,violation_rate,sample_violation,result,detail
C1,mandatory,member_id 一意性,0.0,10000.0,0.0,,OK,
C2,mandatory,leave_date >= join_date,0.0,1531.0,0.0,,OK,
C3,mandatory,age<18 → has_spouse=0,0.0,278.0,0.0,,OK,
C4,mandatory,PLATINUM → annual_spend >= 500_000,0.0,703.0,0.0,,OK,
C5a,mandatory,"age ∈ [0,110]",0.0,10000.0,0.0,,OK,
C5b,mandatory,"annual_spend ∈ [0,3000000]",0.0,10000.0,0.0,,OK,
C6a,mandatory,"gender ∈ {1,2,9}",0.0,10000.0,0.0,,OK,
C6b,mandatory,"member_rank ∈ {BRONZE,SILVER,GOLD,PLATINUM}",0.0,10000.0,0.0,,OK,
C6c,mandatory,"registration_channel ∈ {WEB,STORE,APP,PHONE}",0.0,10000.0,0.0,,OK,
C6d,mandatory,prefecture_code ∈ 01..47,0.0,10000.0,0.0,,OK,
C7,recommended,gender 構成比 45:50:5 (±5pt),,,,,OK,"[{'gender': 1, 'actual': 0.4544, 'target': 0.45, 'diff_pt': 0.0044}, {'gender': 2, 'actual': 0.4955, 'target': 0.5, 'diff_pt': -0.0045}, {'gender': 9, 'actual': 0.0501, 'target': 0.05, 'diff_pt': 0.0001}]"
C8,recommended,年代別 has_spouse 比率レンジ,,,,,OK,"[{'band': '<20', 'count': 503, 'spouse_ratio': 0.0974, 'range': [0.0, 0.1], 'ok': True}, {'band': '30-39', 'count': 2354, 'spouse_ratio': 0.5573, 'range': [0.4, 0.7], 'ok': True}, {'band': '40+', 'count': 5521, 'spouse_ratio': 0.7421, 'range': [0.6, 0.85], 'ok': True}]"
