student_id,enrollment_year,department,grade,gender,status,gpa
S20180001,2018,LITERATURE,4,2,GRADUATED,3.42
S20180002,2018,ENGINEERING,4,1,GRADUATED,2.87
S20190005,2019,SCIENCE,4,2,GRADUATED,3.61
S20190008,2019,ECONOMICS,4,1,GRADUATED,2.95
S20200003,2020,MEDICAL,6,2,ENROLLED,3.78
S20200007,2020,ENGINEERING,4,1,GRADUATED,3.12
S20200012,2020,LITERATURE,4,2,WITHDRAWN,1.85
S20210004,2021,SCIENCE,4,1,ENROLLED,3.05
S20210009,2021,ECONOMICS,4,2,ENROLLED,3.33
S20210014,2021,MEDICAL,5,1,ENROLLED,3.55
S20220006,2022,ENGINEERING,3,9,ENROLLED,2.78
S20220011,2022,LITERATURE,3,2,LEAVE,2.40
S20220018,2022,SCIENCE,3,1,ENROLLED,3.21
S20230002,2023,ECONOMICS,2,2,ENROLLED,3.48
S20230007,2023,ENGINEERING,2,1,ENROLLED,2.91
S20230013,2023,MEDICAL,3,2,ENROLLED,3.67
S20240001,2024,LITERATURE,1,1,ENROLLED,3.10
S20240010,2024,SCIENCE,1,2,ENROLLED,3.85
S20240015,2024,ENGINEERING,1,1,ENROLLED,2.55
S20250003,2025,ECONOMICS,1,2,ENROLLED,3.20
S20250008,2025,MEDICAL,1,1,ENROLLED,3.90
S20250014,2025,ENGINEERING,1,9,ENROLLED,3.05
