transaction_id,member_id,transaction_date,store_code,product_category,quantity,amount,payment_method
T0000000001,M0000001,2024-08-12,S013,FOOD,3,2480,CREDIT
T0000000002,M0000001,2024-09-03,S013,APPAREL,1,8900,CREDIT
T0000000003,M0000001,2024-11-15,S013,FOOD,5,3850,EMONEY
T0000000004,M0000004,2024-05-22,S027,ELECTRONICS,1,72000,CREDIT
T0000000005,M0000004,2024-07-09,S027,HOME,2,18500,CREDIT
T0000000006,M0000004,2024-12-25,S027,APPAREL,3,45000,CREDIT
T0000000007,M0000005,2025-01-19,S011,FOOD,2,1280,CASH
T0000000008,M0000006,2024-10-02,S040,BOOKS,1,2200,DEBIT
T0000000009,M0000006,2024-11-30,S040,FOOD,4,2950,EMONEY
T0000000010,M0000010,2024-06-15,S027,APPAREL,2,38000,CREDIT
T0000000011,M0000010,2024-08-08,S027,HOME,1,55000,CREDIT
T0000000012,M0000010,2024-12-01,S027,ELECTRONICS,1,128000,CREDIT
T0000000013,M0000013,2024-09-14,S001,DAILY,3,1200,POINT
T0000000014,M0000013,2024-10-26,S001,FOOD,6,4200,EMONEY
T0000000015,M0000015,2024-07-21,S013,APPAREL,1,12000,CREDIT
T0000000016,M0000015,2024-11-04,S013,FOOD,4,3400,DEBIT
T0000000017,M0000018,2024-08-30,S023,ELECTRONICS,1,68000,CREDIT
T0000000018,M0000018,2024-12-10,S023,HOME,2,32000,CREDIT
T0000000019,M0000020,2023-03-15,S040,FOOD,3,2900,EMONEY
T0000000020,M0000020,2023-08-22,S040,APPAREL,2,18000,CREDIT
T0000000021,M0000023,2024-04-04,S013,FOOD,5,4100,DEBIT
T0000000022,M0000023,2024-10-19,S013,APPAREL,1,9500,CREDIT
T0000000023,M0000025,2024-06-07,S011,ELECTRONICS,1,98000,CREDIT
T0000000024,M0000025,2024-09-22,S011,HOME,1,42000,CREDIT
T0000000025,M0000028,2024-11-11,S001,FOOD,4,3650,EMONEY
T0000000026,M0000031,2024-05-30,S013,APPAREL,2,24000,CREDIT
T0000000027,M0000034,2024-07-17,S040,ELECTRONICS,1,85000,CREDIT
T0000000028,M0000034,2024-10-08,S040,APPAREL,3,38500,CREDIT
T0000000029,M0000038,2024-09-25,S027,BOOKS,2,3800,DEBIT
T0000000030,M0000040,2023-04-12,S013,APPAREL,2,28000,CREDIT
